Question,Answer
"In the 1980s, who voiced the character of Dino, the pet dinosaur in the animated series The Flintstones?
",Mel Blanc
"In the book Jurassic Park, the fictional island Isla Nublar, where recreated dinosaur species live, is situated in which part of the world?
",Near Costa Rica
"The BBC series Walking with Dinosaurs, which won three Emmy Awards, consisted of how many parts?
",6
"The design of the Japanese fictional monster Godzilla was based on the characteristics of which dinosaur?
",All of these
"In the cartoon Dinosaucers, Bronto Thunder is what kind of dinosaur?
",An evolved Apatosaurus
"What is Dinotopia, the fictional place where humans and dinosaurs live together in James Gurneys books and Hallmarks mini series?
",A hidden island
"Which band recorded a song called Brontosaurus which includes the following verse:
",
" her daddys getting old
",d he seemed to lose control
"What kind of celestial body is the 9949 Brontosaurus?
",Asteroid
"What is the meaning of the term Triceratops, referring to a dinosaur genus discovered in 1888 in North America?
",Three horns on the face
"Which one of these dinosaurs was bigger than a dog?
",Triceratops
"In the scientific classification of animals, what does the term Dinosauria signify?
",A superorder
"Fossils of a Velociraptor attacking a Protoceratops, proving that dinosaurs attacked and ate each other, were discovered in which part of the world in 1971?
",The Gobi Desert
"Which one of these dinosaurs was carnivorous?
",Eoraptor
"Which one of these dinosaurs was herbivorous?
",Protoceratops
"No dinosaur fossils have been found on which one of these continents?
",None of these
"How many fingers did the Tyrannosaurus rex have on its forelimbs?
",2
"The first evidence of herding behaviour among dinosaurs was discovered in 1878 in which part of the world?
",Belgium
"Which one of these statements about the Seismosaurus, the Earth-shaking lizard, is wrong?
",Its hind legs were shorter than its front legs.
"How long is the average lifespan of an elephant?
",70 years
"Just like humans, apes and dolphins, elephants can recognize themselves in a mirror.
",True
"Until what age can the female elephant (called a cow) produce offspring?
",50 years
"Elephants always give birth to twins.
",False
"Elephants express joy by spinning in circles, trumpeting, roaring, screaming, urinating, and flapping their ears. In which of these cases will an elephant not act this way?
",after the death of an elderly elephant
"Elephants sometimes have stillborn births, but are not bothered by the loss since the baby was never alive.
",False
"Mammoths are members of the elephant family.
",True
"How many species of elephant exist today?
",3
"How many individual muscles are in an elephants trunk?
","40,000"
"When swimming, an elephant will use its trunk as a snorkel.
",True
"Elephants intertwine their trunks with the trunks of other elephants, much like a handshake. What does an elephant not do with its trunk?
",drink through it like through a straw
"Elephants spend 16 hours a day collecting and eating food, an average of 400 lbs of food a day. But their bodies do not digest 100% of the food. How much of the food does the elephants body digest?
",40%
"It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.
",24
"An elephants brain is half the size of the human brain.
",False
"Through what body part can an elephant NOT hear?
",skin
"Only female elephants were used in battle, because male elephants were too difficult to tame and train.
",False
"In Islamic history, 570 A.D. was The Year of the Elephant. Which of these happened in that year?
",Muhammad was born
"An elephants tusks grow continuously, about 7 inches a year.
",True
"Which is true about elephants?
",The elephant is a good swimmer.
"What is the only marsupial in the world that has a backwards pouch?
",wombat
"Salt water crocodiles belong to the amphibian group.
",False
"This reef, that extends along the east coast of Australia, is home to countless animals and is considered one of the wonders of the natural world.
",Great Barrier Reef
"The female of this species is sometimes called a Blue Flyer, because of its bluish coloration.
",red kangaroo
"Which one of these is NOT a type of wombat?
",Arid Central
"Echidnas can swim.
",True
"The echidnas diet consists mainly of this group of animals.
",Insects
"Where does the kookaburra, a common Australian bird, get its name from?
",The aboriginal name for it
"Which of these animals is NOT native to Australia?
",Dingo
"What does the word Triceratops mean?
",Three Horned Face
"Triceratops was a voracious meat eater and would consume hundreds of pounds of meat a day.
",False
"How much is Triceratops thought to have weighed?
","Between 13,000 and 26,000 lbs"
"Is there any evidence that Triceratops lived in herds?
",No
"In what year was Triceratops first discovered?
",1888
"Triceratops is the official State Dinosaur of which state?
",Wyoming
"Triceratops fossils have been found on three continents.
",False
"It is thought that Triceratops was able to run how fast?
",15 mph
"The proper spelling of this insectâ€™s name is preying mantis even though it is commonly referred to as praying mantis.
",False
"What does the word â€œmantisâ€ mean?
",Prophet or fortuneteller
"Female mantes (the plural for mantis) are larger than males.
",True
"Can a praying mantis change color?
",Yes
"A large mantis can feed on birds or small mammals.
",True
"In what year was the Praying mantis placed on the Endangered Species List?
",1976
"You can go to jail for intentionally killing a praying mantis as it is an endangered species.
",True
"The praying mantis lives only up to one year.
",True
"What is the meaning of the name Stegosaurus?
",Roof Lizard
"The Stegosaurus had no teeth.
",False
"How many bony plates did a Stegosaurus have embedded on its back?
",17
"Stegosaurus had a brain about the size of an orange.
",False
"What was the length of an average Stegosaurus?
",26-30 feet (8-9.2 m)
"Did the Stegosaurus have more bones in its tail than any other Jurassic Dinosaur?
",Yes
"What was the average weight of a Stegosaurus?
","6,800 lbs. (3 tonnes)"
"The spikes on the tail of a Stegosaurus are called â€œthagomizersâ€ and are a reference to the Gary Larsons comic strip Far Side.
",True
"What was the average height of a stegosaurus?
",9 feet (2.7 m)
"Stegosaurus had back legs that were twice as long as its front legs.
",True
"Stegosaurus had the strongest front legs in the dinosaur world.
",True
"How many subspecies of the tiger are left nowadays?
",6
"Is the tiger the largest cat out of the Big Cat group?
",Yes
"The Sumatran tiger is the smallest of all tigers.
",True
"The Caspian tiger is believed to have become extinct.
",True
"How many cubs are usually in a tigers litter?
",3-4 cubs
"How long is the gestation period of a tiger?
",16 weeks
"Can tigers swim up to 4 miles?
",Yes
"Are tigers known to kill more humans than any other cat?
",Yes
"Turtles can breathe in water.
",False
"How many living species of bears are there?
",8
"The Coyote is also known as The Prairie Wolf.
",True
"Which country does the Clydesdale horse originate from?
",Scotland
"What famous beer brand uses the Clydesdale horse as its mascot?
",Anheuser-Busch
"A Clydesdale horse can weight up to 1,000 pounds (500 kg).
",False
"Clydesdale horses are known for having white fur covering their hooves on all four of their legs.
",True
"What year was the Clydesdale Horse Society formally founded?
",1887
"What class of horse breed does the Clydesdale horse belong to?
",Draft Horse
"The Clydesdale is a very active horse.
",True
"What year was the Clydesdale horse introduced to North America?
",1715
"Over 600 Clydesdale horses are registered every year in the United States.
",True
"How long does a Clydesdale horseâ€™s pregnancy last?
",11 Months
"This dog breed, which originated in Mongolia and China, has very thick fluffy fur and a blue-black tongue.
",Chow Chow
"The representatives of this dog breed are small, have long white silky fur and are also known as Roman Ladies Dogs.
",Maltese
"What common name does the dog breed New Guinea Highland Dog have?
",Singer
"In what color does the Pekingese dog breed come?
",All of these
"The Pomeranian female dog should be a little larger than the male.
",True
"In what European country did the Rough Collie dog breed originate?
",Scotland
"What dog breed has an elongated body, very short legs, short shiny coat and a long snout?
",Dachshund
"This extremely large and tall German dog breed has a very short shiny coat and strong muscular body with a majestic posture.
",All of these
"In which European country did the Dalmatian dog breed originate?
",Croatia
"This dog breed, developed in England, has an egg-shaped head, small eyes, and very strong muscular body with smooth short fur and short legs.
",Bull Terrier
"What is the literal meaning of the word carnivore which has a Latin origin?
",Meat eater
"Which of these statements is true about carnivorous organisms in general?
",All of these
"What is the meaning of the term apex predator which is related to carnivorous animals?
",A predator that has no predators itself.
"What is the definition of the term hypercarnivore?
",An animal whose diet consists exclusively of meat.
"Which of these methods do carnivorous plants use for capturing their prey?
",All of these
"What does the diet of the Great Blue Heron, found in North and Central America, consist of?
",All of these
"Which of these statements is true about the diet of coyotes?
",They eat insects.
"Which of these characteristics is generally associated with carnivorous animals, particularly predators?
",All of these
"Which of these statements is true about the consumption of plant material by carnivores?
",All of these
"What does the term facultative carnivore mean?
",A carnivore that also consumes plant food.
"The box turtle has a hinge on the bottom of its shell.
",True
"The average lifespan of a box turtle is about 20 years.
",True
"Box turtles are carnivores.
",False
"The state of Indiana has strict laws against collecting and capturing box turtles from the wild.
",True
"When a box turtle is taken out of the wild, it can spend years and sometimes its entire life looking for its home.
",True
"Male box turtles tend to be larger than females.
",True
"Box turtles are safe to eat.
",False
"How many box turtle species are there in North America?
",4
"Box turtles are the most common terrestrial turtle in the eastern United States.
",True
"What color eyes do male box turtles commonly have?
",red
"What city is known as the White Squirrel Capital of the World, since it is home to the largest colony of albino squirrels?
","Olney, Illinois"
"Whiteflies generally feed on what?
",Leaves
"Which of these white foxes populates the polar zone of the Northern Hemisphere?
",All of these
"In what novel one of the main characters is a white whale hunted by a whaling ship?
",Moby-Dick
"What type of insect is often referred to as a white ant, although it is not related to the ant species?
",Termite
"The White Snake is a fairy tale included in the collection of fairy tales by this author.
",Brothers Grimm
"What is the meaning of the figurative expression a white elephant?
",A pricey and useless possession
"The representatives of the Old Danish Pointer breed are white, with markings of this other color on their coat.
",Brown
"Which of these dog breeds originated in Hungary?
",All of these
"In what Latin American country did the Chihuahua dog breed originate?
",Mexico
"To what group of dog breeds does the Beagle dog breed belong?
",Hound group
"In what country did the American Akita dog breed originate?
",Japan
"This dog breed, considered one of the first sighthound dog breeds, has very long fur and is quite tall, with long legs and ears.
",Afghan Hound
"In what northern country did the Siberian Husky dog breed originate?
",Russia
"The Papillon is a small dog breed of the Toy group. What does the word Papillon mean in French?
",Butterfly
"This dog, which was once used as a personal defense dog, police dog and war dog, is often mistakenly believed to be very aggressive.
",Doberman Pinscher
"This dog breed was developed as a gun dog in Canada?
",Labrador Retriever
"Is the cheetah the only animal on land that can turn while running?
",Yes
"Cheetahs have been domesticated and tamed.
",True
"What is the mortality rate of a cheetah cub growing to adulthood?
",95% die
"What is another name for a nutria?
",Coypu
"Nutrias belong to the rodent family.
",True
"The nutria is native to which continent?
",South America
"What is the average weight of an adult nutria?
",10-20 lbs.
"Which of the following is a characteristic of the nutria?
",Large orange teeth
"The nutria is a herbivorous animal.
",True
"What do farmers raise nutrias for?
",Their fur is very valuable.
"Nutria meat is lean and low in what?
",Cholesterol
"What time of year do nutrias breed?
",All year round
"What is a common nickname for the Yorkshire Terriers?
",Yorkie
"Yorkshire Terrier show dogs have a height standard.
",False
"What is the approximate weight standard, that a Yorkshire Terrier show dog cannot go over?
",No standard
"Yorkshire Terriers are the smallest breed of dog in the world.
",False
"What is the Yorkshire Terriers average lifespan?
",11 - 13 years
"What place did the Yorkshire Terrier take in the AKC registered breed popularity in the USA in 2008?
",2nd
"Venomous and poisonous are two different terms. What does the term venomous refer to?
",Animals that inject venom
"Which of these statements is true about the slow loris, a primate which is both poisonous and venomous?
",All of these
"The Brazilian wandering spiders are included in Guinness World Records 2007 as the worlds most venomous spiders. How do they inject their venom?
",By biting
"What creature is considered the most venomous on the planet?
",Box jellyfish
"The stonefish is an extremely venomous type of fish that lives in the coastal regions of Indo-Pacific oceans. How does it inject its venom?
",With its dorsal fin
"The name of cobras, which are very venomous, comes from the Portuguese cobra de capello. What does this mean?
",Snake with hood
"Venomous mammals do exist, although they are very rare. Which of these mammals is venomous?
",All of these
"The Northern Short-tailed Shrew is a small venomous mammal that populates this area.
",North America
"How do fire ants, a type of venomous ants, introduce their venom?
",Through stinging
"What kind of animal is the venomous Gila monster that is indigenous to southwestern United States and northern Mexico?
",Lizard
"What phylum do jellyfish belong to?
",Cnidaria
"Jellyfish are vertebrates.
",False
"A sea wasp is a jellyfish.
",True
"Which of these body systems do jellyfish NOT have?
",all of these
"What is a group of jellyfish called?
",bloom
"Jellyfish are fish.
",False
"How is the body of the jellyfish oxygenated?
",diffusion
"What is the deadliest jellyfish in the world?
",Box Jellyfish
"Do adult jellyfish reproduce asexually?
",No
"Is the wolfs scientific name Canis lupus pallipes?
",False
"According to statistics, how are wolves killed today?
",All of these
"How many different types of wolves including sub-species are there around the world?
",9
"How long is the female gestation period in wolves?
",63 days
"What is the most amount of wolf pups ever recorded in a litter?
",14 pups
"At what age does a wolf usually leave its pack?
",2-3 years
"Wolves can live in snowy areas at certain times of the year?
",True
"Do wolves have a social structure?
",Yes
"The blue whale is the largest animal, but what is the largest toothed whale on the planet?
",Sperm whale
"What Gorilla is the largest primate on the planet?
",Eastern Lowland Gorilla
"What is the largest living bird of prey on the planet?
",Eurasian Black Vulture
"What is the largest fish in existence?
",Whale shark
"Name the largest mollusk and the largest invertebrate in the world?
",Colossal squid
"What is the largest living terrestrial organism on the planet?
",African Bush Elephant
"Approximately how much does a typical female vampire bat weigh?
",1.5 oz.
"Out of 200 vampire bats, approximately how many have rabies?
",1
"What is the average lifespan of a vampire bat?
",40-50 years
"Where are vampire bats mostly found?
","Mexico, Central America and South America"
"Vampire bats have poor eyesight.
",False
"Vampire bats can be quite tame, and even friendly to humans.
",True
"Vampire bats blood-sucking does not hurt the bitten animal.
",True
"A vampire bat will die if it doesnt find blood for how many nights in a row?
",2
"Do vampire bats ever roost alone?
",Yes
"How do wolves mark their territory?
",All of these
"What actor directed and starred in the popular 1990 movie Dances with Wolves?
",Kevin Costner
"What is the largest wolf species on the planet as well as the largest wild representative of the Canidae family?
",Grey wolf
"Wolf pups are usually born with irises of this color, which changes with time.
",Blue
"What animal is considered the major enemy of the wolf in the wild, apart from humans?
",Other wolves
"What type of wolf is White Fang from Jack Londons popular novel White Fang?
",Wolf hybrid
"Wolves do not wag their tails as dogs do when they are happy.
",False
"In what European city is the popular bronze statue Capitoline Wolf located?
",Rome
"What animals do wolves generally prefer to feed on?
",Ungulates
"To what continent is the unique Maned Wolf endemic?
",South America
"Which animals have the most unique species endemic to Australia?
",Amphibians
"Which of these statements about the Australian fauna is true?
",All of these
"What animal is the largest macropod and one of Australias heraldic animals?
",Red kangaroo
"What kind of animal is the Spotted wobbegong?
",Fish
"What is the common name of the Quoll, a carnivorous marsupial native to Australia and Papua New Guinea?
",Native cat
"Which of these areas is the Black Salamander endemic to?
",United States
"Which of these statements is true about the Western black widow spider?
",It is extremely venomous.
"What type of food does the Lesser Vasa Parrot, also known as Black Parrot, feed on?
",Fruit
"How did the Black Mamba snake get its name?
",Because its mouth is black
"Which of these names refers to the Asian black bear, a close relative of the American black bear?
",All of these
"The Black wolf is actually a color variant of which wolf species?
",Grey wolf
"The name Lumbriculus variegatus, or blackworm, refers to a few worm species. In what way do they reproduce?
",By regeneration
"Which of these statements is true about the Black dog, a ghost-like creature popular in the folklores of the British Isles?
",All of these
"Which of these statements is true about the Black garden ant?
",All of these
"Which of these statements is true about the Black Iberian Pig?
",It is indigenous to the Mediterranean.
"What animal is is the only strictly-marine herbivorous mammal in the world?
",All of these
"This animal is considered a marine mammal because it lives on the sea ice most of the year.
",Polar bear
"The Hooded Seal is a marine mammal that populates this geographic area.
",Central and western North Atlantic
"This animal is the heaviest member of its family, and also one of the smallest marine mammals.
",Sea otter
"Which of these marine mammals matches the description: Very large body, has tusks and whiskers?
",Walrus
"The Humpback Whale, one of the largest marine mammals, feeds in this season.
",Summer
"This extraordinary marine mammal is often considered a whale, but it is actually a dolphin.
",All of these
"Dolphins are considered some of the most intelligent animals on the planet. How are they classified according to their diet?
",They are carnivores.
"This marine mammal is known as the pilot whale, but it is not actually a whale. What type of animal is it?
",Dolphin
"Which of these animals are among the many marine mammals that use songs for the purposes of communication?
",All of these
"Translated in English, what does the name of the chinchilla mean?
",Little Chincha
"The natural habitat of the Chinchilla is this region in South America.
",The Andes
"Which is the wrong statement about chinchilla breeding?
",Chinchillas have a 45-day gestation period.
"Chinchillas have a wide range of hearing - 5 Hz to 60 kHz
",False
"To which chinchilla species do most of the domestic chinchillas belong?
",Chinchilla lanigera
"Chinchillas are great pets for children - they are animals of very friendly nature and love to be held.
",False
"In nature, chinchillas can be found in only one color. Which one is it?
",Grey
"Chinchillas should be bathed with warm water at least once a week.
",False
"Which of the following should be avoided in the pet chinchillas diet?
",Fresh vegetables
"Which of these physiological features does the chinchilla lack?
",The ability to sweat
"Name the two types of Chinese Crested dogs.
",Hairless and Powderpuff
"The two types of Chinese Crested dogs are born in separate litters, they cannot come from the same litter.
",False
"Which breed group does the Chinese Crested dog belong to?
",Toy
"The Chinese Crested dog does not require much exercise.
",True
"Which of the following behaviors is not typical for the Chinese Crested dog?
",Pant to keep cool
"The Chinese Crested dog is very timid.
",False
"A Chinese Crested dogs ears are not cropped.
",True
"The origin of the Chinese Crested dog is unknown, but according to some sources it may have come from which of these places?
",Mexico and Africa
"Chinese Crested dogs are very suspicious of strangers and can make very good watchdogs.
",True
"A hairless Chinese Crested dog needs to be protected from which of the following?
",All of these
"What term is commonly used to denote a group of foxes?
",All of these
"What is the meaning the word which stands for fox in many languages?
",Tail
"How are most foxes generally classified according to their diet?
",Omnivores
"Which of these names refers to the Crab-eating Fox, a medium-sized fox found in the central part of South America?
",All of these
"What fox species is considered to be the smallest on the planet?
",Fennec Fox
"What notable feature does the Fennec Fox possess, that makes it easily recognizable?
",Very large ears
"Which of these names belongs to the fox species that is the second smallest fox species in the world, slightly smaller than a domestic cat?
",All of these
"According to Chinese mythology, what shape do fox spirits known as huli jing take in the real world?
",Women
"which of these stories and books have a fox character involved in the storyline?
",The Adventures of Pinocchio
"What eminent musician released his album The Fox in 1981?
",Elton John
"Chipmunks are small squirrel-like rodents belonging to the genus Tamias. What does the Greek word tamias mean?
",Storer
"What would some species of  porcupine consume in order to supply calcium ans salts?
",Bones
"What defense tactic does the chinchilla use in order to escape from its predators, which include birds of prey, skunks, felines, snakes and canines?
",Spraying urine
"What rodent, closely related to the chinchilla and guinea pig, is also known as the Brush-Tailed Rat and is native to Chile?
",Degu
"The Capybara is the largest rodent in the world. What is the meaning of its name, derived from a word of the GuaranÃ­ language?
",Master of the grasses
"The acouchis, small diurnal rodents found along riverbanks in the Amazon Rainforest, usually feed on this type of food.
",Fruit
"Guinea pigs are very intelligent, highly social animals that use special vocalization to communicate. What does their whistling or wheeking sound express?
",Excitement
"Groundhogs are mostly herbivorous rodents that sometimes eat animal matter. What kind of animals would they feed on?
",All of these
"What kind of unique activity is characteristic of the African Pygmy Mouse, the smallest rodent in the world?
",It piles up pebbles in front of its burrow.
"Which of these statements is true about rodent species in general?
",Rodents do not vomit.
"To which of these geographical areas are hummingbirds indigenous?
",North and South America
"How did Hummingbirds get their interesting name?
",Because of the noise they produce when they fly
"Hummingbirds are the only birds on the planet to have this amazing ability.
",They can fly backwards.
"What is the major type of food that Hummingbirds depend on for their survival?
",Nectar
"Which of the following statements is true about Hummingbirds?
","When Hummingbirds are flying they have the fastest metabolism of all animals, except for insects."
"What is the term for the state of temporary hibernation that Hummingbirds enter when food is not available?
",Torpor
"What is the reason for Hummingbirds short life-span?
",Their fast metabolic rate
"The usage of raw sugars, including brown sugar, is not recommended when preparing artificial nectar for Hummingbirds. Why?
",Raw sugars contain iron.
"Aztecs are known for wearing hummingbird talismans which symbolize which of the following?
",All of these
"How did the smallest bird in the world, the Bee Hummingbird, get its name?
",Because it is approximately the size of a large bee
"Where does the Giant Cowbird, a passerine bird found in South America, lay its eggs?
",In other birds nests
"The vicuna, a South American animal, is a close relative of this other animal.
",Llama
"What common name is used to denote the dolphin species Sotalia fluviatilis, indigenous to South America?
",All of these
"What color is the head of the South American stork Jabiru, whose body is predominantly white?
",Black
"What type of animal is the Gold tegu, found in South America?
",Reptile
"What is the smallest species of deer in the world, found only in South America?
",Northern Pudu
"What makes the Scarlet Macaw, a parrot species indigenous to South America, unsuitable for a pet?
",All of these
"What does the South American snake Lachesis muta, commonly known as South American bushmaster, do when it feels threatened?
",It starts vibrating its tail.
"Which of these statements is true about the capybara, the largest rodent on the planet, indigenous to South America?
",None of these
"What type of mammal is the Culpeo?
",Wild dog
"Tiger sharks usually hunt alone.
",True
"The tiger shark is considered highly dangerous to humans.
",True
"The tiger shark reaches a length of 10 ft to 20 ft.
",False
"Unlike most sharks, the tiger shark does not grow a replacement tooth every time one is lost.
",False
"Which of the following is a characteristic of the tiger shark?
",They give birth to live young.
"What time of day does the tiger shark usually hunt?
",Nighttime
"Tiger sharks are know to eat garbage that is thrown in the water by humans.
",True
"Tiger sharks give birth to up to 12 live young at a time.
",False
"How long is the gestation period for a female tiger shark?
",15-16 months
"Which of these is one of the nicknames of the tiger shark?
",Wastebasket of the Sea
"What does the Latin word  omnivore stand for?
",Eating everything
"Most bear species are omnivores and their diet consists mainly of what?
",Mast
"Which of these statements is NOT true about the Common Raven, a popular omnivorous bird?
",It wouldnt eat birds
"Which of these is not within the natural diet of the omnivorous Eastern Box Turtle?
",Small amphibians
"Which of these is true about raccoons?
",They use their front paws to examine their food and remove unwanted parts
"What is the main food source for the sloth, an omnivorous mammal living in Central and South America?
",Leaves
"What bizarre food would pigs occasionally eat, being omnivores?
",All of these
"Skunks, which are omnivorous mammals, are one of the primary predators of these animals.
",Honeybees
"What is the prevailing color of the fur of the Tasmanian devil?
",Black
"In what part of their body do Tasmanian devils store body fat?
",Tail
"What is the meaning of the word Sarcophilus, the name of the genus that the Tasmanian devil belongs to?
",Meat-lover
"At what time of the day are Tasmanian devils most active?
",At night
"Which of these statements is true about Tasmanian devils?
",They are predominantly solitary animals
"What does the Tasmanian devil do when it feels stressed or threatened?
",It produces a strong odour
"Which of these statements are wrong about the reproduction of the Tasmanian devil?
",The female has six nipples
"What type of food do Tasmanian devils prefer in the wild?
",Carrion
"In May 2009 the Tasmanian devil was declared to be endangered because this disease had almost wiped out its population.
",Facial cancer
"What is the name of the Tasmanian devil cartoon character from Looney Tunes by Warner Bros.?
",Taz
"Which of these are a part of an ant colony?
",All of these
"Which of these behaviors is typical of ant societies?
",All of these
"Termites are not actually ants.
",True
"Which of these is true about ants diet?
",Most ants are omnivores.
"What is the usual size range of mature ants?
",From 0.75 to 52 millimeters
"Which of the following statements is true about ants eyes and eyesight?
",All of these
"How many legs do ants have?
",6
"Ants communicate through pheromones.
",True
"Which of these ways of defence and attack do ants use?
",All of these
"This chemical is found in the venom of most ants and some other insects.
",Formic acid
"Some small spider species, as well as the young of larger species, are known for floating in the wind. What is this activity commonly known as?
",Ballooning
"Which of these mollusks is able to glide over in air for up to 50 meters (164 feet)?
",Squid
"In what ocean can the 50 species of Exocoetidae, also known as flying fish, be found?
",All of these
"Of all the gliding animals, which one is the one best glider?
",Flying lemurs
"Which  frog is a skilled glider, able to make two types of turns midair?
",Chinese gliding frog
"Some mammals are able to glide and parachute, but bats are the only ones capable of flying.  What is the name of the membrane that forms the surface of their wings?
",Patagium
"In what geographical region can you find the Paradise Flying Snake, also called Paradise Tree Snake?
",Asia
"What kind of organism is the Greater Glider, a gliding animal indigenous to Australia?
",Mammal
"Where are the gliding membranes of the Draco lizard species positioned?
",On their elongated ribs
"Which of these species of geckos is able to glide in the air after jumping or falling from a tree?
",Ptychozoon
"The large tsetse fly, found in Africa, feeds on what?
",Blood
"What type of animal is the serval?
",Feline
"What is the largest crocodilian in Africa?
",Nile crocodile
"What body part of the giraffe can indicate its gender?
",Horns
"Adult Goliath beetles, found in Africas tropical forests, feed on what?
",Fruits and tree sap
"What type of animal is the dik-dik, indigenous to Africa?
",Antelope
"In cetaceans, the species identification â€œrorqualâ€ comes from the Norwegian word â€œrorhvalâ€ which means â€œfurrow.â€ These furrows are obvious on all rorqual whales. Which of the following is not a rorqual whale?
",Beluga whale
"Right and gray whales have been over-fished almost to extinction. Which of the following is a gray or right whale?
",Bowhead whale
"Narwhals and belugas make up separate subspecies of cetaceans. However, taxonomists often include in it a dolphin which lives in Indo-Pacific waters. What is the name of this dolphin?
",Irrawaddy dolphin
"Which whale expels a reddish-brown fluid when threatened, much like an octopus?
",Pygmy sperm whale
"What does the diet of wombats consist of in general?
",Plants
"Males of this whale species have one tooth that can grow to be 10 feet (3 m) long.
",Narwhal
"The largest family of whales is the beaked whales (Ziphiidae). Most of the scarce information about this family has been found from dead specimens. Their teeth are the most distinctive aspect of these whales; most have only 2-4 oversized teeth. Which whaleâ€™s teeth erupt from bulges in the lower jaw?
",Blainvilleâ€™s beaked whale
"The family â€œdelphinidaeâ€ include which kind of cetacean?
",Dolphins
"The family â€œphocoenidaeâ€ describe which group of cetacean?
",Porpoises
"These cetaceans live off the southern coast of South America and can be found up to 150 miles (240 km) up the Amazon River. They are colored pale blue with a white underside. What is their name?
",Tuxici
"Sometimes called the â€œhooked-finnedâ€ porpoise, this animal has a barely noticeable beak. It lives in the deep waters of the northern latitudes between North America and Asia, and is a very fast swimmer (up to 20 mph / 32 km/h). What is its name?
",Pacific white-sided dolphin
"The representatives of this type of dolphins have very small eyes, making them virtually blind. They rely on echolocation to find food and swim in turbid waters. They include the baiji and boto. What are they called?
",River dolphins
"This family of cetaceans has representatives like the vaquita, the harbor, and spectacled type. They are shy and stay away from boats; however, they are particularly susceptible to fishing lines, nets, and other pollution. Which is the family?
",Porpoises
"This oceanic dolphin has distinctive yellow patches on its sides. It is mostly found in the northern latitudes of the Atlantic Ocean.
",Atlantic white-sided dolphin
"This popular dolphin often herds fish onto the beach in order to eat the stranded fish. As a result, the teeth on one side (usually the right) are worn down due to eating sand as well as the fish. Which is this dolphin?
",Bottlenose dolphin
"Which of the following do orca NOT do with their food?
",Regurgitate it for their young
"What animal is considered the smallest mammal in length on the planet?
",Kittis Hog-nosed Bat
"The Microraptor, the smallest known non-avian dinosaur, inhabited this modern day area during the early Cretaceous Period 130-125.5 million years ago.
",China
"What kind of animal is the smallest known reptile on the planet?
",Gecko
"This tiny frog is the smallest amphibian in the world.
",Brazilian Gold Frog
"What type of insect is the smallest known insect on the planet?
",Wasp
"Which of these tiny bugs is considered the smallest beetle in the world?
",Scydosella musawasensis
"What type of animal is the smallest vertebrate?
",Fish
"The smallest turtle in the world, the Speckled Padloper Tortoise, inhabits which of these areas?
",South Africa
"Where is its natural habitat of the smallest bird on the planet, the Bee Hummingbird?
",Cuba and the Isle of Youth
"What bacterium is believed to be the smallest living organism that is capable to grow and reproduce independently?
",Mycoplasma genitalium
"What does the diet of most penguin species primarily consist of?
",All of these
"The largest penguin species on the planet is the Emperor Penguin. What is the smallest one?
",All of these
"There are various theories for the origin of the word penguin, such the Latin word pinguis, which means what?
",Fat
"What color is the crest on the head of the Southern Rockhopper Penguin, which is known for having red eyes?
",Yellow
"Which of these penguin species is the closest relative of the Magellanic Penguin?
",All of these
"What is the common name of the Eudyptes schlegeli penguin species that have a white face and live in the waters surrounding Antarctica?
",Royal Penguin
"The sound of what musical instrument does the call of the Macaroni Penguin resemble?
",Trumpet
"Most penguin species are piscivorous, meaning what?
",They feed primarily on fish
"What notable feature does the Gentoo Penguin possess which makes it easily recognizable?
",A white stripe on the top of its head
"What is the special talent of the penguin Mumble from the 2006 animated movie Happy Feet?
",Tap dancing
"What large mammal is the national animal of India?
",Bengal tiger
"What type of Indian animals are included in the so-called Big Four selection?
",Poisonous snakes
"What interesting physical feature does the Nicobar Bulbul, endemic to the Nicobar Islands of India, possess?
",It has a dark cap on its head.
"Which of these statements is not true about the Indian Elephant?
",All of these
"What interesting resting posture does the Indian Treeshrew, a.k.a. Madras Treeshrew, have?
",With its tail resting on its head
"What type of animal is the Indian Flying-fox, found in India, Bangladesh, China, and other parts of Asia?
",Bat
"Box Turtles are solitary creatures who neither want nor need companions.
",True
"Turtles have poor vision and cannot see in color.
",False
"In the winter, many turtles enter a dormant state called torpor which resembles hibernation .
",True
"Turtles are cold-blooded, meaning their internal temperature varies according to their outside environment.
",True
"The largest turtles are aquatic.
",True
"Sea turtles have glands near their eyes that filter the salt out of sea water.
",False
"Turtles can stick out their tongues to catch food.
",False
"The inner layer of the turtles shell contains 60 bones-- including parts of the turtles ribs and backbone.
",True
"A turtles eggs are leathery and soft.
",True
"A turtles lungs quickly break down, becoming less and less efficient over its lifetime.
",False
"Only sea turtles do not care for their young.
",False
"Turtles can breathe underwater.
",True
"All aquatic turtles have flippers instead of feet.
",False
"All turtles withdraw their head into their shell by contracting their neck to the side.
",False
"A turtles upper shell is called the plastron.
",False
"A turtles skin is made of scales, just like the skin of other reptiles.
",True
"What is the only place in the world you can see platypuses in the wild?
",Australia and Tasmania
"How do platypuses reproduce?
",Platypuses lay eggs.
"How does the platypus feed its young for the first three to four months?
","The mother is lactating, but she has no teats."
"What is the weight range of normal mature platypuses?
",From 0.7 to 2.4 kg
